collection_slug,backlog_bucket,top_repository_name,top_provider,repo_host,repo_url_hint,platform_hint,priority_kind,suggested_wave,direct_repo_hint_available,content_priority,extraction_ease,language_priority,pdf_hit_rate,raw_target_rows,tapped_target_rows,untapped_target_rows,known_overlap_source,dominant_target_types_summary,has_text,has_image,has_sound,has_video,estimated_text_items,estimated_image_items,estimated_sound_items,estimated_video_items,latest_run_id,latest_run_state,best_completed_run_id,notes,manual_priority,manual_repo_status,manual_notes
benaki,discovery_backlog,Περιοδικό Μουσείο Μπενάκη,Μουσείο Μπενάκη,,,unknown,row_filtered,discovery_backlog,no,high,discovery_only,strict_ELL_NONE,,60,0,60,,article:60,yes,no,no,no,60,0,0,0,,,,strict-language untapped rows=60; content_priority=high; extraction_ease=discovery_only; no direct host hint yet from external_pdfs,,,
enveducation,discovery_backlog,Περιβαλλοντική Εκπαίδευση για την Αειφορία,Ελληνική Επιστημονική Εταιρεία Περιβαλλοντικής Εκπαίδευσης για την Αειφορία (ΕΛ.Ε.ΕΤ.Π.Ε.Α),,,unknown,whole_collection,discovery_backlog,no,high,discovery_only,strict_ELL_NONE,,57,0,57,,article:57,yes,no,no,no,57,0,0,0,,,,strict-language untapped rows=57; content_priority=high; extraction_ease=discovery_only; no direct host hint yet from external_pdfs,,,
eulimene,discovery_backlog,ΕΥΛΙΜΕΝΗ,Μεσογειακή Αρχαιολογική Εταιρεία,,,unknown,row_filtered,discovery_backlog,no,high,discovery_only,strict_ELL_NONE,,54,0,54,,article:54,yes,no,no,no,54,0,0,0,,,,strict-language untapped rows=54; content_priority=high; extraction_ease=discovery_only; no direct host hint yet from external_pdfs,,,
geosociety,known_host_backlog,Δελτίο της Ελληνικής Γεωλογικής Εταιρίας,Ελληνική Γεωλογική Εταιρεία,ejournals.epublishing.ekt.gr,https://ejournals.epublishing.ekt.gr/,custom_or_unknown,row_filtered,wave3_hard_or_small,yes,high,medium,strict_ELL_NONE,0.8333333333333334,54,6,48,,article:54,yes,no,no,no,54,0,0,0,,,,strict-language untapped rows=48; content_priority=high; extraction_ease=medium,,,
armenistis,discovery_backlog,Αρμενιστής,Δημόσια Κεντρική Βιβλιοθήκη Καλαμάτας,,,unknown,whole_collection,discovery_backlog,no,high,discovery_only,strict_ELL_NONE,,47,0,47,,article:47,yes,no,no,no,47,0,0,0,,,,strict-language untapped rows=47; content_priority=high; extraction_ease=discovery_only; no direct host hint yet from external_pdfs,,,
socwork,discovery_backlog,Κοινωνική Εργασία- Επιθεώρηση Κοινωνικών Επιστημών,Σύνδεσμος Κοινωνικών Λειτουργών Ελλάδος (ΣΚΛΕ),,,unknown,row_filtered,discovery_backlog,no,high,discovery_only,strict_ELL_NONE,,44,0,44,,article:44,yes,no,no,no,44,0,0,0,,,,strict-language untapped rows=44; content_priority=high; extraction_ease=discovery_only; no direct host hint yet from external_pdfs,,,
keimena_paideias,discovery_backlog,Κείμενα Παιδείας,Εργαστήριο Ιστορίας της Παιδείας και της Εκπαίδευσης του Παιδαγωγικού Τμήματος Δημοτικής Εκπαίδευσης του Δημοκρίτειου Πανεπιστημίου Θράκης,,,unknown,whole_collection,discovery_backlog,no,high,discovery_only,strict_ELL_NONE,,42,0,42,,article:42,yes,no,no,no,42,0,0,0,,,,strict-language untapped rows=42; content_priority=high; extraction_ease=discovery_only; no direct host hint yet from external_pdfs,,,
automaton,discovery_backlog,Αυτόματον: Περιοδικό Πολιτισμικής Κριτικής και  Θεωρίας Νέων Μέσων,Εταιρεία Μελέτης των Επιστημών του Ανθρώπου (ΕΜΕΑ),,,unknown,whole_collection,discovery_backlog,no,high,discovery_only,strict_ELL_NONE,,41,0,41,,article:41,yes,no,no,no,41,0,0,0,,,,strict-language untapped rows=41; content_priority=high; extraction_ease=discovery_only; no direct host hint yet from external_pdfs,,,
hapscpbs,discovery_backlog,HAPSc Policy Briefs Series,Ελληνικός Οργανισμός Πολιτικών Επιστημόνων (ΕΟΠΕ),,,unknown,row_filtered,discovery_backlog,no,high,discovery_only,strict_ELL_NONE,,36,0,36,,article:36,yes,no,no,no,36,0,0,0,,,,strict-language untapped rows=36; content_priority=high; extraction_ease=discovery_only; no direct host hint yet from external_pdfs,,,
thete,discovery_backlog,Θέματα Επιστημών και Τεχνολογίας στην Εκπαίδευση,"Εργαστήριο Εφαρμογών Εικονικής Πραγματικότητας στην Εκπαίδευση, Παιδαγωγικό Τμήμα Δημοτικής Εκπαίδευσης, Πανεπιστήμιο Ιωαννίνων",,,unknown,whole_collection,discovery_backlog,no,high,discovery_only,strict_ELL_NONE,,35,0,35,,article:35,yes,no,no,no,35,0,0,0,,,,strict-language untapped rows=35; content_priority=high; extraction_ease=discovery_only; no direct host hint yet from external_pdfs,,,
